period,activityDetails,values
2021-11-19T04:26:34Z,"{'referenceId': 1681562271, 'directorActivityHash': 1681562271, 'instanceId': '9622797852', 'mode': 4, 'modes': [7, 4], 'isPrivate': False, 'membershipType': 3}","{'assists': {'statId': 'assists', 'basic': {'value': 6.0, 'displayValue': '6'}}, 'completed': {'statId': 'completed', 'basic': {'value': 1.0, 'displayValue': 'Yes'}}, 'deaths': {'statId': 'deaths', 'basic': {'value': 13.0, 'displayValue': '13'}}, 'kills': {'statId': 'kills', 'basic': {'value': 25.0, 'displayValue': '25'}}, 'opponentsDefeated': {'statId': 'opponentsDefeated', 'basic': {'value': 31.0, 'displayValue': '31'}}, 'efficiency': {'statId': 'efficiency', 'basic': {'value': 2.3846153846153846, 'displayValue': '2.38'}}, 'killsDeathsRatio': {'statId': 'killsDeathsRatio', 'basic': {'value': 1.9230769230769231, 'displayValue': '1.92'}}, 'killsDeathsAssists': {'statId': 'killsDeathsAssists', 'basic': {'value': 2.1538461538461537, 'displayValue': '2.15'}}, 'score': {'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'activityDurationSeconds': {'statId': 'activityDurationSeconds', 'basic': {'value': 1801.0, 'displayValue': '30m 1s'}}, 'team': {'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}, 'completionReason': {'statId': 'completionReason', 'basic': {'value': 0.0, 'displayValue': 'Objective Completed'}}, 'fireteamId': {'statId': 'fireteamId', 'basic': {'value': 1.7097968049791017e+18, 'displayValue': '-2147483648'}}, 'startSeconds': {'statId': 'startSeconds', 'basic': {'value': 181.0, 'displayValue': '3m 1s'}}, 'timePlayedSeconds': {'statId': 'timePlayedSeconds', 'basic': {'value': 1620.0, 'displayValue': '27m 0s'}}, 'playerCount': {'statId': 'playerCount', 'basic': {'value': 6.0, 'displayValue': '6'}}, 'teamScore': {'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}}"
2021-11-18T08:55:59Z,"{'referenceId': 3881495763, 'directorActivityHash': 3881495763, 'instanceId': '9619831730', 'mode': 4, 'modes': [7, 4], 'isPrivate': False, 'membershipType': 3}","{'assists': {'statId': 'assists', 'basic': {'value': 1.0, 'displayValue': '1'}}, 'completed': {'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}, 'deaths': {'statId': 'deaths', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'kills': {'statId': 'kills', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'opponentsDefeated': {'statId': 'opponentsDefeated', 'basic': {'value': 1.0, 'displayValue': '1'}}, 'efficiency': {'statId': 'efficiency', 'basic': {'value': 1.0, 'displayValue': '1.00'}}, 'killsDeathsRatio': {'statId': 'killsDeathsRatio', 'basic': {'value': 0.0, 'displayValue': '0.00'}}, 'killsDeathsAssists': {'statId': 'killsDeathsAssists', 'basic': {'value': 0.5, 'displayValue': '0.50'}}, 'score': {'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'activityDurationSeconds': {'statId': 'activityDurationSeconds', 'basic': {'value': 147.0, 'displayValue': '2m 27s'}}, 'team': {'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}, 'completionReason': {'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}, 'fireteamId': {'statId': 'fireteamId', 'basic': {'value': 1.2101780102038367e+18, 'displayValue': '-2147483648'}}, 'startSeconds': {'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}, 'timePlayedSeconds': {'statId': 'timePlayedSeconds', 'basic': {'value': 91.0, 'displayValue': '1m 31s'}}, 'playerCount': {'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}, 'teamScore': {'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}}"
2021-11-18T08:53:50Z,"{'referenceId': 3881495763, 'directorActivityHash': 3881495763, 'instanceId': '9619828671', 'mode': 4, 'modes': [7, 4], 'isPrivate': False, 'membershipType': 3}","{'assists': {'statId': 'assists', 'basic': {'value': 2.0, 'displayValue': '2'}}, 'completed': {'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}, 'deaths': {'statId': 'deaths', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'kills': {'statId': 'kills', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'opponentsDefeated': {'statId': 'opponentsDefeated', 'basic': {'value': 2.0, 'displayValue': '2'}}, 'efficiency': {'statId': 'efficiency', 'basic': {'value': 2.0, 'displayValue': '2.00'}}, 'killsDeathsRatio': {'statId': 'killsDeathsRatio', 'basic': {'value': 0.0, 'displayValue': '0.00'}}, 'killsDeathsAssists': {'statId': 'killsDeathsAssists', 'basic': {'value': 1.0, 'displayValue': '1.00'}}, 'score': {'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'activityDurationSeconds': {'statId': 'activityDurationSeconds', 'basic': {'value': 146.0, 'displayValue': '2m 26s'}}, 'team': {'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}, 'completionReason': {'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}, 'fireteamId': {'statId': 'fireteamId', 'basic': {'value': -5.273774486506356e+18, 'displayValue': '-2147483648'}}, 'startSeconds': {'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}, 'timePlayedSeconds': {'statId': 'timePlayedSeconds', 'basic': {'value': 111.0, 'displayValue': '1m 51s'}}, 'playerCount': {'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}, 'teamScore': {'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}}"
2021-11-18T08:51:48Z,"{'referenceId': 3881495763, 'directorActivityHash': 3881495763, 'instanceId': '9619825463', 'mode': 4, 'modes': [7, 4], 'isPrivate': False, 'membershipType': 3}","{'assists': {'statId': 'assists', 'basic': {'value': 2.0, 'displayValue': '2'}}, 'completed': {'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}, 'deaths': {'statId': 'deaths', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'kills': {'statId': 'kills', 'basic': {'value': 3.0, 'displayValue': '3'}}, 'opponentsDefeated': {'statId': 'opponentsDefeated', 'basic': {'value': 5.0, 'displayValue': '5'}}, 'efficiency': {'statId': 'efficiency', 'basic': {'value': 5.0, 'displayValue': '5.00'}}, 'killsDeathsRatio': {'statId': 'killsDeathsRatio', 'basic': {'value': 3.0, 'displayValue': '3.00'}}, 'killsDeathsAssists': {'statId': 'killsDeathsAssists', 'basic': {'value': 4.0, 'displayValue': '4.00'}}, 'score': {'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'activityDurationSeconds': {'statId': 'activityDurationSeconds', 'basic': {'value': 139.0, 'displayValue': '2m 19s'}}, 'team': {'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}, 'completionReason': {'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}, 'fireteamId': {'statId': 'fireteamId', 'basic': {'value': 5.756764202995789e+18, 'displayValue': '-2147483648'}}, 'startSeconds': {'statId': 'startSeconds', 'basic': {'value': 3.0, 'displayValue': '0m 3s'}}, 'timePlayedSeconds': {'statId': 'timePlayedSeconds', 'basic': {'value': 103.0, 'displayValue': '1m 43s'}}, 'playerCount': {'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}, 'teamScore': {'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}}"
2021-11-18T08:49:25Z,"{'referenceId': 3881495763, 'directorActivityHash': 3881495763, 'instanceId': '9619822410', 'mode': 4, 'modes': [7, 4], 'isPrivate': False, 'membershipType': 3}","{'assists': {'statId': 'assists', 'basic': {'value': 4.0, 'displayValue': '4'}}, 'completed': {'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}, 'deaths': {'statId': 'deaths', 'basic': {'value': 1.0, 'displayValue': '1'}}, 'kills': {'statId': 'kills', 'basic': {'value': 2.0, 'displayValue': '2'}}, 'opponentsDefeated': {'statId': 'opponentsDefeated', 'basic': {'value': 6.0, 'displayValue': '6'}}, 'efficiency': {'statId': 'efficiency', 'basic': {'value': 6.0, 'displayValue': '6.00'}}, 'killsDeathsRatio': {'statId': 'killsDeathsRatio', 'basic': {'value': 2.0, 'displayValue': '2.00'}}, 'killsDeathsAssists': {'statId': 'killsDeathsAssists', 'basic': {'value': 4.0, 'displayValue': '4.00'}}, 'score': {'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'activityDurationSeconds': {'statId': 'activityDurationSeconds', 'basic': {'value': 162.0, 'displayValue': '2m 42s'}}, 'team': {'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}, 'completionReason': {'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}, 'fireteamId': {'statId': 'fireteamId', 'basic': {'value': 3.0877407056423767e+18, 'displayValue': '-2147483648'}}, 'startSeconds': {'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}, 'timePlayedSeconds': {'statId': 'timePlayedSeconds', 'basic': {'value': 126.0, 'displayValue': '2m 6s'}}, 'playerCount': {'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}, 'teamScore': {'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}}"
2021-11-18T08:47:17Z,"{'referenceId': 3881495763, 'directorActivityHash': 3881495763, 'instanceId': '9619819272', 'mode': 4, 'modes': [7, 4], 'isPrivate': False, 'membershipType': 3}","{'assists': {'statId': 'assists', 'basic': {'value': 1.0, 'displayValue': '1'}}, 'completed': {'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}, 'deaths': {'statId': 'deaths', 'basic': {'value': 1.0, 'displayValue': '1'}}, 'kills': {'statId': 'kills', 'basic': {'value': 1.0, 'displayValue': '1'}}, 'opponentsDefeated': {'statId': 'opponentsDefeated', 'basic': {'value': 2.0, 'displayValue': '2'}}, 'efficiency': {'statId': 'efficiency', 'basic': {'value': 2.0, 'displayValue': '2.00'}}, 'killsDeathsRatio': {'statId': 'killsDeathsRatio', 'basic': {'value': 1.0, 'displayValue': '1.00'}}, 'killsDeathsAssists': {'statId': 'killsDeathsAssists', 'basic': {'value': 1.5, 'displayValue': '1.50'}}, 'score': {'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'activityDurationSeconds': {'statId': 'activityDurationSeconds', 'basic': {'value': 144.0, 'displayValue': '2m 24s'}}, 'team': {'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}, 'completionReason': {'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}, 'fireteamId': {'statId': 'fireteamId', 'basic': {'value': 6.779178774021201e+18, 'displayValue': '-2147483648'}}, 'startSeconds': {'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}, 'timePlayedSeconds': {'statId': 'timePlayedSeconds', 'basic': {'value': 109.0, 'displayValue': '1m 49s'}}, 'playerCount': {'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}, 'teamScore': {'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}}"
2021-11-18T08:45:15Z,"{'referenceId': 3881495763, 'directorActivityHash': 3881495763, 'instanceId': '9619816012', 'mode': 4, 'modes': [7, 4], 'isPrivate': False, 'membershipType': 3}","{'assists': {'statId': 'assists', 'basic': {'value': 1.0, 'displayValue': '1'}}, 'completed': {'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}, 'deaths': {'statId': 'deaths', 'basic': {'value': 1.0, 'displayValue': '1'}}, 'kills': {'statId': 'kills', 'basic': {'value': 1.0, 'displayValue': '1'}}, 'opponentsDefeated': {'statId': 'opponentsDefeated', 'basic': {'value': 2.0, 'displayValue': '2'}}, 'efficiency': {'statId': 'efficiency', 'basic': {'value': 2.0, 'displayValue': '2.00'}}, 'killsDeathsRatio': {'statId': 'killsDeathsRatio', 'basic': {'value': 1.0, 'displayValue': '1.00'}}, 'killsDeathsAssists': {'statId': 'killsDeathsAssists', 'basic': {'value': 1.5, 'displayValue': '1.50'}}, 'score': {'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'activityDurationSeconds': {'statId': 'activityDurationSeconds', 'basic': {'value': 139.0, 'displayValue': '2m 19s'}}, 'team': {'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}, 'completionReason': {'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}, 'fireteamId': {'statId': 'fireteamId', 'basic': {'value': -6.45671836489585e+18, 'displayValue': '-2147483648'}}, 'startSeconds': {'statId': 'startSeconds', 'basic': {'value': 3.0, 'displayValue': '0m 3s'}}, 'timePlayedSeconds': {'statId': 'timePlayedSeconds', 'basic': {'value': 102.0, 'displayValue': '1m 42s'}}, 'playerCount': {'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}, 'teamScore': {'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}}"
2021-11-18T08:42:54Z,"{'referenceId': 3881495763, 'directorActivityHash': 3881495763, 'instanceId': '9619813680', 'mode': 4, 'modes': [7, 4], 'isPrivate': False, 'membershipType': 3}","{'assists': {'statId': 'assists', 'basic': {'value': 1.0, 'displayValue': '1'}}, 'completed': {'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}, 'deaths': {'statId': 'deaths', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'kills': {'statId': 'kills', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'opponentsDefeated': {'statId': 'opponentsDefeated', 'basic': {'value': 1.0, 'displayValue': '1'}}, 'efficiency': {'statId': 'efficiency', 'basic': {'value': 1.0, 'displayValue': '1.00'}}, 'killsDeathsRatio': {'statId': 'killsDeathsRatio', 'basic': {'value': 0.0, 'displayValue': '0.00'}}, 'killsDeathsAssists': {'statId': 'killsDeathsAssists', 'basic': {'value': 0.5, 'displayValue': '0.50'}}, 'score': {'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'activityDurationSeconds': {'statId': 'activityDurationSeconds', 'basic': {'value': 158.0, 'displayValue': '2m 38s'}}, 'team': {'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}, 'completionReason': {'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}, 'fireteamId': {'statId': 'fireteamId', 'basic': {'value': 2.9038182240123955e+18, 'displayValue': '-2147483648'}}, 'startSeconds': {'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}, 'timePlayedSeconds': {'statId': 'timePlayedSeconds', 'basic': {'value': 122.0, 'displayValue': '2m 2s'}}, 'playerCount': {'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}, 'teamScore': {'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}}"
2021-11-18T08:40:47Z,"{'referenceId': 3881495763, 'directorActivityHash': 3881495763, 'instanceId': '9619809762', 'mode': 4, 'modes': [7, 4], 'isPrivate': False, 'membershipType': 3}","{'assists': {'statId': 'assists', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'completed': {'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}, 'deaths': {'statId': 'deaths', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'kills': {'statId': 'kills', 'basic': {'value': 2.0, 'displayValue': '2'}}, 'opponentsDefeated': {'statId': 'opponentsDefeated', 'basic': {'value': 2.0, 'displayValue': '2'}}, 'efficiency': {'statId': 'efficiency', 'basic': {'value': 2.0, 'displayValue': '2.00'}}, 'killsDeathsRatio': {'statId': 'killsDeathsRatio', 'basic': {'value': 2.0, 'displayValue': '2.00'}}, 'killsDeathsAssists': {'statId': 'killsDeathsAssists', 'basic': {'value': 2.0, 'displayValue': '2.00'}}, 'score': {'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'activityDurationSeconds': {'statId': 'activityDurationSeconds', 'basic': {'value': 144.0, 'displayValue': '2m 24s'}}, 'team': {'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}, 'completionReason': {'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}, 'fireteamId': {'statId': 'fireteamId', 'basic': {'value': -3.71684148484177e+18, 'displayValue': '-2147483648'}}, 'startSeconds': {'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}, 'timePlayedSeconds': {'statId': 'timePlayedSeconds', 'basic': {'value': 110.0, 'displayValue': '1m 50s'}}, 'playerCount': {'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}, 'teamScore': {'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}}"
2021-11-18T08:38:46Z,"{'referenceId': 3881495763, 'directorActivityHash': 3881495763, 'instanceId': '9619806791', 'mode': 4, 'modes': [7, 4], 'isPrivate': False, 'membershipType': 3}","{'assists': {'statId': 'assists', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'completed': {'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}, 'deaths': {'statId': 'deaths', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'kills': {'statId': 'kills', 'basic': {'value': 3.0, 'displayValue': '3'}}, 'opponentsDefeated': {'statId': 'opponentsDefeated', 'basic': {'value': 3.0, 'displayValue': '3'}}, 'efficiency': {'statId': 'efficiency', 'basic': {'value': 3.0, 'displayValue': '3.00'}}, 'killsDeathsRatio': {'statId': 'killsDeathsRatio', 'basic': {'value': 3.0, 'displayValue': '3.00'}}, 'killsDeathsAssists': {'statId': 'killsDeathsAssists', 'basic': {'value': 3.0, 'displayValue': '3.00'}}, 'score': {'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}, 'activityDurationSeconds': {'statId': 'activityDurationSeconds', 'basic': {'value': 138.0, 'displayValue': '2m 18s'}}, 'team': {'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}, 'completionReason': {'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}, 'fireteamId': {'statId': 'fireteamId', 'basic': {'value': 3.8788942261538007e+18, 'displayValue': '-2147483648'}}, 'startSeconds': {'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}, 'timePlayedSeconds': {'statId': 'timePlayedSeconds', 'basic': {'value': 104.0, 'displayValue': '1m 44s'}}, 'playerCount': {'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}, 'teamScore': {'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}}"
