activityTags,actors,business,categoryid,categoryname,cityid,cityname,couponTags,description,id,imgurl,isAtmospheric,iseticket,isgeneralagent,issuperticket,isxuanzuo,name,nameNoHtml,price,price_str,pricehigh,privilegeTags,projectid,promotionTags,showstatus,showtag,showtime,sitestatus,subcategoryid,subcategoryname,subhead,venue,venuecity,venueid,verticalPic
[],,0,3,话剧歌剧,852,北京,[],,1_1_647855845165,-2111376141,FALSE,0,0,0,1,开心麻花经典爆笑舞台剧《乌龙山伯爵》,开心麻花经典爆笑舞台剧《乌龙山伯爵》,80,80-1080,1080,[],6.47856E+11,[],售票中,,2021.07.21-07.25,3,19,话剧,,地质礼堂剧场,北京,917,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN0176l51n2GdSKLUA6X1_!!2251059038.jpg
[],,0,7,展览休闲,852,北京,[],,1_1_648050057380,-2109434019,FALSE,0,1,0,0,【真迹展】遇见古埃及 黄金木乃伊,【真迹展】遇见古埃及 黄金木乃伊,118,118-199,199,[],6.4805E+11,[],售票中,,2021.08.15-11.15,3,38,展会,,中华世纪坛,北京,1565001,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01O7oz882GdSKSHpSx4_!!2251059038.jpg
[],,0,3,话剧歌剧,852,北京,[],,1_1_647219126408,-2117743328,FALSE,0,0,0,1,开心麻花2019年底大戏《瞎画艺术家》,开心麻花2019年底大戏《瞎画艺术家》,80,80-1080,1080,[],6.47219E+11,[],售票中,,2021.07.23-08.01,3,19,话剧,,海淀剧院,北京,74,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01FeEPAu2GdSKDzUjUq_!!0-item_pic.jpg
[],,0,3,话剧歌剧,852,北京,[],,1_1_646749528942,-2122439303,FALSE,0,0,0,1,话剧《人间正道是沧桑》,话剧《人间正道是沧桑》,280,280-1280,1280,[],6.4675E+11,[],售票中,,2021.07.28-08.01,3,19,话剧,,保利剧院,北京,39,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN019keuPe2GdSKfAih9I_!!2251059038.png
[],,0,3,话剧歌剧,852,北京,[],,1_1_649077430258,-2099160290,FALSE,0,0,0,1,孟京辉戏剧作品《伤心咖啡馆之歌》,孟京辉戏剧作品《伤心咖啡馆之歌》,80,80-680,680,[],6.49077E+11,[],售票中,,2021.08.26-08.29,3,19,话剧,,保利剧院,北京,39,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN011fDYfb2GdSKZbLZLq_!!2251059038.jpg
[],,0,7,展览休闲,852,北京,[],,1_1_647979931008,-2110135282,FALSE,0,1,0,0,“成为安迪·沃霍尔”UCCA年度重磅大展,“成为安迪·沃霍尔”UCCA年度重磅大展,140,140-190,190,[],6.4798E+11,[],售票中,,2021.07.03-10.10,3,38,展会,,UCCA尤伦斯当代艺术中心,北京,1496,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01rdy7rf2GdSKfjA5y6_!!0-item_pic.jpg
[],,0,5,曲苑杂坛,852,北京,[],,1_1_647701941502,-2112915177,FALSE,0,0,0,1,周末脱口秀精品吐槽大会-爆笑开心喜剧X即兴段子解压专场,周末脱口秀精品吐槽大会-爆笑开心喜剧X即兴段子解压专场,6.6,6.6-280,280,[],6.47702E+11,[],售票中,,2021.07.09-07.31,3,32,其他,,枫蓝熙剧场,北京,1235,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN012jfQWF2GdSKTmBm0Z_!!2251059038.png
[],,0,1,演唱会,852,北京,[],,1_1_648087198388,-2109062609,FALSE,0,1,0,0,2021 WAGF 音乐节 Gin《Passage》 吉他音乐会,2021 WAGF 音乐节 Gin《Passage》 吉他音乐会,220,220-280,280,[],6.48087E+11,[],售票中,,2021.08.21 周六 20:00,3,12,音乐节,,东方梅地亚中心M剧场,北京,57497,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01Ssxoub2GdSKPKpwqI_!!2251059038.jpg
[],,0,3,话剧歌剧,852,北京,[],,1_1_644562472429,-2144309868,FALSE,0,0,0,1,音乐剧《摇滚浮士德》,音乐剧《摇滚浮士德》,180,180-880,880,[],6.44562E+11,[],售票中,,2021.07.23-07.25,3,22,音乐剧,,天桥艺术中心-大剧场,北京,59432,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01pY0t1C2GdSK4icGNq_!!2251059038.jpg
[],,0,7,展览休闲,852,北京,[],,1_1_644285069487,-2147083898,FALSE,0,1,0,0,宫崎骏与吉卜力的世界--动画艺术展,宫崎骏与吉卜力的世界--动画艺术展,78,78-168,168,[],6.44285E+11,[],售票中,,2021.06.12-10.10,3,38,展会,,今日美术馆1号馆,北京,91877,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01ayEpKZ2GdSJwPWcmr_!!2251059038.jpg
